Movie Title,Year,Score,Director,Cast,Critics Consensus
Mission: Impossible Rogue Nation,2015,94%,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Ving Rhames, Simon Pegg",Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.
The Terminator,1984,100%,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks."
Gladiator,2000,77%,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.
Kill Bill: Volume 1,2003,85%,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine",Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.
Léon: The Professional,1994,74%,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.
Speed,1994,94%,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton","A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock."
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,84%,Lau Kar-Leung,"Jackie Chan, Siu Tin Yuen, Jang Lee Hwang, Kau Lam",Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.
John Wick,2014,86%,David Leitch,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki","Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise."
"Crouching Tiger, Hidden Dragon",2001,97%,Ang Lee,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang","The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama."
Predator,1987,81%,Shane Black,"Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key","Predator: Part sci-fi, part horror, part action -- all muscle."
The Bourne Ultimatum,2007,92%,Paul Greengrass,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn","The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy."
Total Recall,1990,82%,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox","Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks."
Mad Max 2: The Road Warrior,1982,94%,George Miller,"Mel Gibson, Bruce Spence, Vernon Wells, Emil Minty","The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber."
Heat,1995,87%,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre."
The Raid: Redemption,2012,87%,Gareth Evans,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yahan Ruhian","No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment."
Mission: Impossible - Fallout,2018,97%,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them."
Raiders of the Lost Ark,1981,95%,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler","Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time."
Aliens,1986,97%,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver."
Lat sau san taam (Hard-Boiled),1992,94%,John Woo,"Yun-Fat Chow, Tony Leung Chiu Wai, Anthony Wong, Teresa Mo","Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one."
The Matrix,1999,88%,Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Joe Pantoliano","Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects."
Terminator 2: Judgment Day,1991,93%,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters."
Die Hard,1988,94%,John McTiernan,"Bruce Willis, Alan Rickman, Reginald VelJohnson, Bonnie Bedelia",Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.
Mad Max: Fury Road,2015,97%,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whiteley","With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life."
